dataset,model,scenario,k_mad,n_runs,n_reference_anomalies,threshold,n_detected_mean,n_detected_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Specificity_mean,FalsePositiveRate_mean,BalancedAccuracy_mean,metric_status,baseline_F1_mean,baseline_FalsePositiveRate_mean,F1_change_vs_baseline,FalsePositiveRate_change_vs_baseline
electricity,SeasonalNaive,injected_10pct,3.0,1,4,0.47618692917146205,4.0,,1.0,,1.0,,1.0,,1.0,0.0,1.0,applicable,1.0,0.0,0.0,0.0
electricity,SeasonalNaive,injected_10pct,3.5,1,4,0.5339720696125216,4.0,,1.0,,1.0,,1.0,,1.0,0.0,1.0,applicable,1.0,0.0,0.0,0.0
electricity,SeasonalNaive,injected_10pct,4.0,1,4,0.5917572100535813,4.0,,1.0,,1.0,,1.0,,1.0,0.0,1.0,applicable,1.0,0.0,0.0,0.0
electricity,SeasonalNaive,injected_10pct,4.5,1,4,0.649542350494641,4.0,,1.0,,1.0,,1.0,,1.0,0.0,1.0,applicable,1.0,0.0,0.0,0.0
electricity,SeasonalNaive,injected_10pct,5.0,1,4,0.7073274909357007,4.0,,1.0,,1.0,,1.0,,1.0,0.0,1.0,applicable,1.0,0.0,0.0,0.0
electricity,SeasonalNaive,injected_5pct,2.0,1,2,0.3606166482893427,3.0,,0.6666666666666666,,1.0,,0.8,,0.975,0.025,0.9875,applicable,1.0,0.0,-0.19999999999999996,0.025
electricity,SeasonalNaive,injected_5pct,2.5,1,2,0.41840178873040235,3.0,,0.6666666666666666,,1.0,,0.8,,0.975,0.025,0.9875,applicable,1.0,0.0,-0.19999999999999996,0.025
electricity,SeasonalNaive,injected_5pct,3.0,1,2,0.47618692917146205,2.0,,1.0,,1.0,,1.0,,1.0,0.0,1.0,applicable,1.0,0.0,0.0,0.0
electricity,SeasonalNaive,injected_5pct,3.5,1,2,0.5339720696125216,2.0,,1.0,,1.0,,1.0,,1.0,0.0,1.0,applicable,1.0,0.0,0.0,0.0
electricity,SeasonalNaive,injected_5pct,4.0,1,2,0.5917572100535813,2.0,,1.0,,1.0,,1.0,,1.0,0.0,1.0,applicable,1.0,0.0,0.0,0.0
electricity,SeasonalNaive,injected_5pct,4.5,1,2,0.649542350494641,2.0,,1.0,,1.0,,1.0,,1.0,0.0,1.0,applicable,1.0,0.0,0.0,0.0
electricity,SeasonalNaive,injected_5pct,5.0,1,2,0.7073274909357007,2.0,,1.0,,1.0,,1.0,,1.0,0.0,1.0,applicable,1.0,0.0,0.0,0.0
electricity,SeasonalNaive,proxy_robust_z,2.0,1,0,0.3606166482893427,1.0,,,,,,,,0.9761904761904762,0.023809523809523808,,not_applicable_no_positive_reference,,0.0,,0.023809523809523808
electricity,SeasonalNaive,proxy_robust_z,2.5,1,0,0.41840178873040235,1.0,,,,,,,,0.9761904761904762,0.023809523809523808,,not_applicable_no_positive_reference,,0.0,,0.023809523809523808
electricity,SeasonalNaive,proxy_robust_z,3.0,1,0,0.47618692917146205,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
electricity,SeasonalNaive,proxy_robust_z,3.5,1,0,0.5339720696125216,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
electricity,SeasonalNaive,proxy_robust_z,4.0,1,0,0.5917572100535813,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
electricity,SeasonalNaive,proxy_robust_z,4.5,1,0,0.649542350494641,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
electricity,SeasonalNaive,proxy_robust_z,5.0,1,0,0.7073274909357007,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
electricity,XGBoost,injected_10pct,2.0,10,4,0.19065401535405196,12.5,0.8498365855987975,0.32134532134532134,0.022056925874098396,1.0,0.0,0.4860130718954248,0.025169198324382164,0.7763157894736843,0.2236842105263158,0.8881578947368421,applicable,0.7272727272727273,0.07894736842105263,-0.24125965537730248,0.14473684210526316
electricity,XGBoost,injected_10pct,2.5,10,4,0.2151984007904523,11.1,0.8755950357709131,0.3624242424242424,0.0291077392393178,1.0,0.0,0.5314285714285714,0.031201682222998368,0.8131578947368421,0.18684210526315786,0.906578947368421,applicable,0.7272727272727273,0.07894736842105263,-0.19584415584415593,0.10789473684210524
electricity,XGBoost,injected_10pct,3.0,10,4,0.23974278622685266,8.7,1.3374935098492586,0.4695382395382396,0.0712528938646964,1.0,0.0,0.6361505161505161,0.0660066492066907,0.8763157894736843,0.12368421052631577,0.9381578947368421,applicable,0.7272727272727273,0.07894736842105263,-0.0911222111222112,0.044736842105263144
electricity,XGBoost,injected_10pct,3.5,10,4,0.264287171663253,7.0,0.0,0.5714285714285714,0.0,1.0,0.0,0.7272727272727273,0.0,0.9210526315789472,0.07894736842105263,0.9605263157894737,applicable,0.7272727272727273,0.07894736842105263,0.0,0.0
electricity,XGBoost,injected_10pct,4.0,10,4,0.28883155709965336,6.3,0.6749485577105527,0.6419047619047619,0.07297445340035355,1.0,0.0,0.7797979797979798,0.05268042347638504,0.9394736842105263,0.060526315789473685,0.9697368421052632,applicable,0.7272727272727273,0.07894736842105263,0.05252525252525253,-0.018421052631578942
