dataset,model,k_mad,n_runs,macro_F1_mean,macro_F1_std,macro_Precision_mean,macro_Recall_mean,macro_FalsePositiveRate_mean,baseline_macro_F1_mean,baseline_macro_FalsePositiveRate_mean,macro_F1_change_vs_baseline,macro_FalsePositiveRate_change_vs_baseline
ilinet,NFGA-LINEAR,3.5,10,0.4669203646370829,0.023070000482118765,0.313013653013653,0.99,0.18577941815023882,0.4669203646370829,0.18577941815023882,0.0,0.0
ilinet,NFGA-LINEAR,4.0,10,0.4685706914344685,0.029381731462976294,0.31657009657009655,0.97,0.1775293095961789,0.4669203646370829,0.18577941815023882,0.0016503267973855817,-0.008250108554059915
ilinet,NFGA-LINEAR,4.5,10,0.46933823529411767,0.03194338923085409,0.32256993006993007,0.93,0.16404689535388622,0.4669203646370829,0.18577941815023882,0.0024178706570347486,-0.0217325227963526
ilinet,NFGA-LINEAR,5.0,10,0.46624999999999994,0.020548985436491383,0.323479020979021,0.9099999999999999,0.15979157620495005,0.4669203646370829,0.18577941815023882,-0.0006703646370829763,-0.025987841945288775
ilinet,Persistence,2.0,1,0.3111111111111111,,0.1875,1.0,0.37386018237082064,0.34782608695652173,0.3117672600955276,-0.03671497584541061,0.06209292227529306
ilinet,Persistence,2.5,1,0.32371794871794873,,0.19679633867276886,1.0,0.3530178028658272,0.34782608695652173,0.3117672600955276,-0.024108138238572996,0.0412505427702996
ilinet,Persistence,3.0,1,0.34782608695652173,,0.2138888888888889,1.0,0.3117672600955276,0.34782608695652173,0.3117672600955276,0.0,0.0
ilinet,Persistence,3.5,1,0.34782608695652173,,0.2138888888888889,1.0,0.3117672600955276,0.34782608695652173,0.3117672600955276,0.0,0.0
ilinet,Persistence,4.0,1,0.35,,0.22156862745098038,0.9,0.25987841945288753,0.34782608695652173,0.3117672600955276,0.0021739130434782483,-0.051888840642640044
ilinet,Persistence,4.5,1,0.35789473684210527,,0.22708333333333333,0.9,0.2496743378202345,0.34782608695652173,0.3117672600955276,0.010068649885583536,-0.06209292227529309
ilinet,Persistence,5.0,1,0.3771929824561403,,0.24285714285714285,0.9,0.228831958315241,0.34782608695652173,0.3117672600955276,0.029366895499618573,-0.08293530178028657
ilinet,SeasonalNaive,2.0,1,0.4818181818181818,,0.38095238095238093,0.7,0.08336951801997394,0.14285714285714285,0.06252713851498046,0.33896103896103896,0.020842379504993486
ilinet,SeasonalNaive,2.5,1,0.2222222222222222,,0.16666666666666666,0.3333333333333333,0.08336951801997394,0.14285714285714285,0.06252713851498046,0.07936507936507936,0.020842379504993486
ilinet,SeasonalNaive,3.0,1,0.2222222222222222,,0.16666666666666666,0.3333333333333333,0.08336951801997394,0.14285714285714285,0.06252713851498046,0.07936507936507936,0.020842379504993486
ilinet,SeasonalNaive,3.5,1,0.14285714285714285,,0.125,0.16666666666666666,0.06252713851498046,0.14285714285714285,0.06252713851498046,0.0,0.0
ilinet,SeasonalNaive,4.0,1,0.16666666666666666,,0.16666666666666666,0.16666666666666666,0.04168475900998697,0.14285714285714285,0.06252713851498046,0.023809523809523808,-0.020842379504993486
ilinet,SeasonalNaive,4.5,1,0.0,,0.0,0.0,0.04168475900998697,0.14285714285714285,0.06252713851498046,-0.14285714285714285,-0.020842379504993486
ilinet,SeasonalNaive,5.0,1,0.0,,0.0,0.0,0.0,0.14285714285714285,0.06252713851498046,-0.14285714285714285,-0.06252713851498046
ilinet,XGBoost,2.0,10,0.3451480403654317,0.016957597492815064,0.2130738357509289,1.0,0.3217976552323057,0.40481940144478845,0.22299174989144593,-0.05967136107935678,0.09880590534085976
ilinet,XGBoost,2.5,10,0.3676597026162244,0.02206092510475346,0.2304447113773739,1.0,0.2916413373860182,0.40481940144478845,0.22299174989144593,-0.03715969882856407,0.06864958749457228
ilinet,XGBoost,3.0,10,0.3987952836637047,0.016749281062700724,0.25618688264779593,0.99,0.2510204081632653,0.40481940144478845,0.22299174989144593,-0.006024117781083749,0.028028658271819384
ilinet,XGBoost,3.5,10,0.40481940144478845,0.02648128312008914,0.26590713208360267,0.9400000000000001,0.22299174989144593,0.40481940144478845,0.22299174989144593,0.0,0.0
ilinet,XGBoost,4.0,10,0.4034399724802202,0.01736139414919527,0.26679487179487177,0.9199999999999999,0.21571862787668258,0.40481940144478845,0.22299174989144593,-0.0013794289645682745,-0.00727312201476335
ilinet,XGBoost,4.5,10,0.4018231854145167,0.012667010684155502,0.26610576923076923,0.9099999999999999,0.21265740338688666,0.40481940144478845,0.22299174989144593,-0.0029962160302717256,-0.010334346504559278
ilinet,XGBoost,5.0,10,0.40118679050567596,0.005207043516759765,0.2661309523809524,0.9,0.20857577073382544,0.40481940144478845,0.22299174989144593,-0.0036326109391124906,-0.014415979157620495
