dataset,model,seed,scenario,n_eval,training_time_sec,mean_inference_latency_sec,model_size_bytes,n_parameters,threshold,architecture,batch_size,learning_rate,selected_epochs,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
ilinet,LSTM,11,forecast_original,52,2.2568114770001557,0.009993069134592449,19588,4897,0.8498749342270195,small,16,0.001,12,0.8288091989144715,0.5164016945991141,15.189683178238718,0.814196105991626,0.814196105991626,0,9,,,,forecast_only
ilinet,LSTM,11,injected_5pct,52,2.2568114770001557,0.01072449632689453,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,3,14,0.21428571428571427,1.0,0.35294117647058826,applicable
ilinet,LSTM,11,injected_10pct,52,2.2568114770001557,0.010376585557651197,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,5,10,0.3,0.6,0.4,applicable
ilinet,LSTM,11,proxy_robust_z,52,2.2568114770001557,0.010847667769212421,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,11,9,0.7777777777777778,0.6363636363636364,0.7,applicable
ilinet,LSTM,22,forecast_original,52,3.068094893000307,0.013919601403865901,19588,4897,0.8498749342270195,small,16,0.001,12,0.710340076553287,0.4082549175798658,12.911541528792508,0.8635170748904928,0.8635170748904928,0,7,,,,forecast_only
ilinet,LSTM,22,injected_5pct,52,3.068094893000307,0.01501546353844018,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,3,10,0.3,1.0,0.46153846153846156,applicable
ilinet,LSTM,22,injected_10pct,52,3.068094893000307,0.012854204346065391,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,5,11,0.45454545454545453,1.0,0.625,applicable
ilinet,LSTM,22,proxy_robust_z,52,3.068094893000307,0.009712822403868743,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,11,7,1.0,0.6363636363636364,0.7777777777777778,applicable
ilinet,LSTM,33,forecast_original,52,2.2329066610000154,0.009888832327043509,19588,4897,0.8498749342270195,small,16,0.001,12,0.7505475830657691,0.4503290830529688,14.226994817183789,0.847629059650152,0.847629059650152,0,7,,,,forecast_only
ilinet,LSTM,33,injected_5pct,52,2.2329066610000154,0.010139950557668972,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,3,12,0.25,1.0,0.4,applicable
ilinet,LSTM,33,injected_10pct,52,2.2329066610000154,0.010632463711579896,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,5,9,0.3333333333333333,0.6,0.42857142857142855,applicable
ilinet,LSTM,33,proxy_robust_z,52,2.2329066610000154,0.010323843192351818,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,11,7,1.0,0.6363636363636364,0.7777777777777778,applicable
ilinet,LSTM,44,forecast_original,52,2.2812537680001697,0.010510928230797408,19588,4897,0.8498749342270195,small,16,0.001,12,0.7188470026176165,0.45386784697751303,15.064103428669814,0.8602285023528462,0.8602285023528462,0,6,,,,forecast_only
ilinet,LSTM,44,injected_5pct,52,2.2812537680001697,0.009667940865308712,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,3,10,0.3,1.0,0.46153846153846156,applicable
ilinet,LSTM,44,injected_10pct,52,2.2812537680001697,0.010509331653845667,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,5,8,0.375,0.6,0.46153846153846156,applicable
ilinet,LSTM,44,proxy_robust_z,52,2.2812537680001697,0.013560294807715624,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,11,6,1.0,0.5454545454545454,0.7058823529411765,applicable
