dataset,detector,detector_category,stochastic,seed,scenario,window_size,n_fit_windows,n_validation_windows,validation_target_fpr,score_threshold,training_time_sec,inference_latency_sec,model_size_bytes,TP,FP,TN,FN,n_reference_anomalies,n_detected,Precision,Recall,F1,Specificity,FalsePositiveRate,BalancedAccuracy,metric_status
ilinet,IsolationForest,independent_window_detector,True,110,proxy_robust_z,24,148,37,0.05,0.10754475441161859,0.7836099899996043,0.0007954761153821612,2891185,1,15,26,10,11,16,0.0625,0.09090909090909091,0.07407407407407407,0.6341463414634146,0.36585365853658536,0.3625277161862528,applicable
ilinet,OneClassSVM,independent_window_detector,False,0,injected_5pct,24,148,37,0.05,0.12201926201244184,0.0025792239994189003,1.3536019231161425e-05,11250,2,31,18,1,3,33,0.06060606060606061,0.6666666666666666,0.1111111111111111,0.3673469387755102,0.6326530612244898,0.5170068027210885,applicable
ilinet,OneClassSVM,independent_window_detector,False,0,injected_10pct,24,148,37,0.05,0.12201926201244184,0.0025792239994189003,1.6352942321436087e-05,11250,1,27,20,4,5,28,0.03571428571428571,0.2,0.06060606060606061,0.425531914893617,0.574468085106383,0.3127659574468085,applicable
ilinet,OneClassSVM,independent_window_detector,False,0,proxy_robust_z,24,148,37,0.05,0.12201926201244184,0.0025792239994189003,1.4562096164529346e-05,11250,4,19,22,7,11,23,0.17391304347826086,0.36363636363636365,0.23529411764705882,0.5365853658536586,0.4634146341463415,0.4501108647450111,applicable
ilinet,LocalOutlierFactor,independent_window_detector,False,0,injected_5pct,24,148,37,0.05,0.09250360366910648,0.004423375999976997,2.1627326934601744e-05,56026,2,25,24,1,3,27,0.07407407407407407,0.6666666666666666,0.13333333333333333,0.4897959183673469,0.5102040816326531,0.5782312925170068,applicable
ilinet,LocalOutlierFactor,independent_window_detector,False,0,injected_10pct,24,148,37,0.05,0.09250360366910648,0.004423375999976997,4.3741846166785064e-05,56026,0,16,31,5,5,16,0.0,0.0,0.0,0.6595744680851063,0.3404255319148936,0.32978723404255317,applicable
ilinet,LocalOutlierFactor,independent_window_detector,False,0,proxy_robust_z,24,148,37,0.05,0.09250360366910648,0.004423375999976997,2.3794730763116742e-05,56026,3,17,24,8,11,20,0.15,0.2727272727272727,0.1935483870967742,0.5853658536585366,0.4146341463414634,0.42904656319290463,applicable
ilinet,Robust-Z,independent_point_detector,False,0,injected_5pct,1,208,0,,3.5,0.0,3.006826930756618e-06,16,0,11,38,3,3,11,0.0,0.0,0.0,0.7755102040816326,0.22448979591836735,0.3877551020408163,applicable
ilinet,Robust-Z,independent_point_detector,False,0,injected_10pct,1,208,0,,3.5,0.0,2.523230775225854e-06,16,0,8,39,5,5,8,0.0,0.0,0.0,0.8297872340425532,0.1702127659574468,0.4148936170212766,applicable
ilinet,Robust-Z,independent_point_detector,False,0,proxy_robust_z,1,208,0,,3.5,0.0,2.370999989300169e-06,16,11,0,41,0,11,11,1.0,1.0,1.0,1.0,0.0,1.0,applicable
