dataset,model,model_type,seed,scenario,n_eval,K,training_time_sec,mean_inference_latency_sec,model_size_bytes,generations_ran,final_objective,threshold,mean_max_membership,mean_membership,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
cholera,NFGA-Core,core,99,injected_10pct,84,8,1.3304370060004658,9.346414279726949e-05,3456,40,0.38725741556006826,795.5579964812515,0.47672986981879883,0.12499999999993931,,,,,,8,11,0.7272727272727273,1.0,0.8421052631578947,applicable
cholera,NFGA-Core,core,99,proxy_robust_z,84,8,1.3304370060004658,0.00010026978569450356,3456,40,0.38725741556006826,795.5579964812515,0.4714083326449068,0.12499999999994078,,,,,,0,2,,,,not_applicable_no_positive_reference
cholera,NFGA-Core,core,110,forecast_original,84,7,1.4471525349999865,0.00010688188091903395,3024,40,0.3488494691426776,795.5579964812515,0.4365693499282904,0.14285714285707837,329.4216254298231,287.3474128797609,84.16292717517338,0.43801743564454276,0.43801743564454276,0,2,,,,forecast_only
cholera,NFGA-Core,core,110,injected_5pct,84,7,1.4471525349999865,0.0001055180833494281,3024,40,0.3488494691426776,795.5579964812515,0.43136342741600614,0.14285714285706744,,,,,,4,20,0.2,1.0,0.3333333333333333,applicable
cholera,NFGA-Core,core,110,injected_10pct,84,7,1.4471525349999865,9.698438088889816e-05,3024,40,0.3488494691426776,795.5579964812515,0.43473430097248567,0.14285714285707132,,,,,,8,5,0.6,0.375,0.46153846153846156,applicable
cholera,NFGA-Core,core,110,proxy_robust_z,84,7,1.4471525349999865,0.00010016924999858712,3024,40,0.3488494691426776,795.5579964812515,0.4365693499282904,0.14285714285707837,,,,,,0,2,,,,not_applicable_no_positive_reference
cholera,NFGA-LINEAR,linear,11,forecast_original,84,2,1.0714362250000704,0.00012350305953424097,1696,30,0.13258184772244552,419.8436433184498,0.7667286913340231,0.49999999999961037,135.49449058521643,107.80067552193074,98.9393972218618,0.90492597000617,0.90492597000617,0,2,,,,forecast_only
cholera,NFGA-LINEAR,linear,11,injected_5pct,84,2,1.0714362250000704,0.0001159299286189794,1696,30,0.13258184772244552,419.8436433184498,0.7575914160221492,0.4999999999996076,,,,,,4,10,0.4,1.0,0.5714285714285714,applicable
cholera,NFGA-LINEAR,linear,11,injected_10pct,84,2,1.0714362250000704,0.00011025857142634603,1696,30,0.13258184772244552,419.8436433184498,0.7622228084781837,0.49999999999960787,,,,,,8,9,0.4444444444444444,0.5,0.47058823529411764,applicable
cholera,NFGA-LINEAR,linear,11,proxy_robust_z,84,2,1.0714362250000704,0.00011668541667729317,1696,30,0.13258184772244552,419.8436433184498,0.7667286913340231,0.49999999999961037,,,,,,0,2,,,,not_applicable_no_positive_reference
cholera,NFGA-LINEAR,linear,22,forecast_original,84,2,1.032921537999755,7.169829756917135e-05,1696,40,0.13172713888884197,419.8436433184498,0.7257828472424558,0.49999999999963557,102.97987475283108,65.28609856250584,38.53396777345643,0.9450809079357911,0.9450809079357911,0,1,,,,forecast_only
cholera,NFGA-LINEAR,linear,22,injected_5pct,84,2,1.032921537999755,0.00014665396427170934,1696,40,0.13172713888884197,419.8436433184498,0.7346020632628332,0.4999999999996299,,,,,,4,9,0.4444444444444444,1.0,0.6153846153846154,applicable
cholera,NFGA-LINEAR,linear,22,injected_10pct,84,2,1.032921537999755,7.117129766378465e-05,1696,40,0.13172713888884197,419.8436433184498,0.7343650907185639,0.49999999999963035,,,,,,8,8,0.5,0.5,0.5,applicable
cholera,NFGA-LINEAR,linear,22,proxy_robust_z,84,2,1.032921537999755,6.38954642389373e-05,1696,40,0.13172713888884197,419.8436433184498,0.7257828472424558,0.49999999999963557,,,,,,0,1,,,,not_applicable_no_positive_reference
cholera,NFGA-LINEAR,linear,33,forecast_original,84,3,1.0534042979998048,7.141777383540535e-05,2544,40,0.13151907269665694,419.8436433184498,0.40057754265756657,0.33333333333295073,96.27539077141415,55.98454973638466,18.76850102745318,0.9519991187930622,0.9519991187930622,0,0,,,,forecast_only
cholera,NFGA-LINEAR,linear,33,injected_5pct,84,3,1.0534042979998048,6.743283339953147e-05,2544,40,0.13151907269665694,419.8436433184498,0.401963493949678,0.3333333333329612,,,,,,4,8,0.5,1.0,0.6666666666666666,applicable
cholera,NFGA-LINEAR,linear,33,injected_10pct,84,3,1.0534042979998048,6.129177387222062e-05,2544,40,0.13151907269665694,419.8436433184498,0.4033208371375526,0.33333333333295295,,,,,,8,7,0.5714285714285714,0.5,0.5333333333333333,applicable
cholera,NFGA-LINEAR,linear,33,proxy_robust_z,84,3,1.0534042979998048,7.745482137233055e-05,2544,40,0.13151907269665694,419.8436433184498,0.40057754265756657,0.33333333333295073,,,,,,0,0,,,,not_applicable_no_positive_reference
cholera,NFGA-LINEAR,linear,44,forecast_original,84,3,0.5688529369999742,8.120421428733e-05,2544,22,0.13387949903745142,419.8436433184498,0.33423375480065254,0.33333333333322185,103.84084154836084,76.76617047031073,34.63115822485015,0.9441587632439307,0.9441587632439307,0,0,,,,forecast_only
cholera,NFGA-LINEAR,linear,44,injected_5pct,84,3,0.5688529369999742,7.538577381724498e-05,2544,22,0.13387949903745142,419.8436433184498,0.33562328455589113,0.33333333333321985,,,,,,4,8,0.5,1.0,0.6666666666666666,applicable
cholera,NFGA-LINEAR,linear,44,injected_10pct,84,3,0.5688529369999742,8.074505953594607e-05,2544,22,0.13387949903745142,419.8436433184498,0.3351688646928212,0.3333333333332205,,,,,,8,7,0.5714285714285714,0.5,0.5333333333333333,applicable
cholera,NFGA-LINEAR,linear,44,proxy_robust_z,84,3,0.5688529369999742,6.733457140788752e-05,2544,22,0.13387949903745142,419.8436433184498,0.33423375480065254,0.33333333333322185,,,,,,0,0,,,,not_applicable_no_positive_reference
