dataset,config_id,factor,level,seed,window_size,K_min,K_max,population_size,maximum_generations,crossover_probability,center_mutation_probability,sigma_mutation_probability,consequent_mutation_probability,lambda_rules,lambda_weights,K_selected,generations_ran,training_time_sec,inference_latency_sec,model_size_bytes,RMSE,MAE,sMAPE,R2,R2_manual
cholera,K_max__12,K_max,12,77,52,2,12,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,4,40,1.062731664000239,7.382904756187123e-05,3392,108.07052341524125,82.64980765317878,36.46373156440365,0.9395170256809369,0.9395170256809369
cholera,K_max__12,K_max,12,88,52,2,12,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,38,1.104069609000362,7.336689286386813e-05,2544,188.85287269006562,176.03167748880108,61.92932333763815,0.815300456969942,0.815300456969942
cholera,K_max__12,K_max,12,99,52,2,12,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,39,1.2560874559994772,0.00011052347619105214,2544,96.34031362983809,55.44615211239116,18.992751866185642,0.9519343586266409,0.9519343586266409
cholera,K_max__12,K_max,12,110,52,2,12,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,26,0.9289611770000192,0.00011875533341697606,1696,105.92661530767543,77.78533788453906,33.052535933209626,0.9418929508785209,0.9418929508785209
cholera,window_size__half,window_size,half,11,26,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,4,40,1.3123926649996065,0.00013814376193078628,1728,244.8715456878915,232.70001144960665,73.93771122036742,0.6894759259672576,0.6894759259672576
cholera,window_size__half,window_size,half,22,26,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,24,0.7689192150000963,0.0001125921905246027,864,127.79691102356301,109.69368431894847,47.193163431393806,0.9154216237103338,0.9154216237103338
cholera,window_size__half,window_size,half,33,26,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,23,0.8072078799996234,9.806814282022796e-05,1296,100.71233935600952,73.99253237361167,33.84925986456536,0.9474728306024307,0.9474728306024307
cholera,window_size__half,window_size,half,44,26,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,40,1.2662156049991609,7.396841667849956e-05,1296,95.70112668060695,58.449463294124655,21.094304495994674,0.9525700429241911,0.9525700429241911
cholera,window_size__half,window_size,half,55,26,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,6,38,0.9940798549996543,6.950066673588091e-05,2592,119.10151508060588,97.19136052391818,41.60456155235166,0.9265396146025879,0.9265396146025879
cholera,window_size__half,window_size,half,66,26,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,40,1.0191836880003393,7.098805951413634e-05,1296,120.40260880136051,92.2993363430854,35.1725251705486,0.9249258499195534,0.9249258499195534
cholera,window_size__half,window_size,half,77,26,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,6,20,0.534533776999524,6.96240357510327e-05,2592,118.73394450992367,96.80572102149058,41.76851691274415,0.9269923411565671,0.9269923411565671
cholera,window_size__half,window_size,half,88,26,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,40,1.0355929420002212,6.136529766211294e-05,1296,106.37078364188129,68.77494810730092,45.66990229907195,0.9414046236992368,0.9414046236992368
