dataset,config_id,factor,level,n_seeds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std,K_mean,K_std,training_time_mean_sec,inference_latency_mean_sec,model_size_mean_bytes,generations_mean,baseline_RMSE_mean,baseline_MAE_mean,baseline_sMAPE_mean,baseline_training_time_mean_sec,baseline_model_size_mean_bytes,RMSE_change_percent_vs_baseline,training_time_change_percent_vs_baseline,model_size_change_percent_vs_baseline
electricity,window_size__one_point_five,window_size,one_point_five,10,0.14242254531963577,0.0059843147791276636,0.11059179802622907,0.004900158199837393,11.782010024160073,0.6083073002256346,0.6240888685092258,0.0312796777001382,6.8,1.6193277068654823,0.8380251950999991,7.499095001462376e-05,2720.0,40.0,0.14786328813741856,0.11339359949008301,12.07877790382091,1.000607302699791,1958.4,-3.6795765103819167,-16.248343097349046,38.88888888888888
ilinet,K_max__12,K_max,12,10,0.4520001975865252,0.013605419780569809,0.26569309809518704,0.0141919387447122,7.791078462276746,0.6005669643015089,0.9446934039235065,0.0033390693150479466,7.6,2.988868236194653,0.8242978680002124,7.362769235372141e-05,3040.0,35.6,0.4421830420553654,0.2615064839593851,7.898919482140462,0.8594890685999417,2880.0,2.2201564957189395,-4.094432597851848,5.555555555555555
ilinet,K_max__4,K_max,4,10,0.4554555320994475,0.02150046156602507,0.26830817339144664,0.019013990468570763,8.08469391853588,1.085217382127417,0.9437778044219772,0.005267983602553274,3.8,0.6324555320336759,0.929955910499757,9.141537694596571e-05,1520.0,39.3,0.4421830420553654,0.2615064839593851,7.898919482140462,0.8594890685999417,2880.0,3.001582779472637,8.198689718602445,-47.22222222222222
ilinet,baseline,baseline,reference,10,0.4421830420553654,0.014282300568139072,0.2615064839593851,0.009865968300375925,7.898919482140462,0.9758252136493246,0.9470632304945283,0.003442788395870413,7.2,1.3165611772087666,0.8594890685999417,7.553201729444061e-05,2880.0,35.7,0.4421830420553654,0.2615064839593851,7.898919482140462,0.8594890685999417,2880.0,0.0,0.0,0.0
ilinet,crossover_probability__0.70,crossover_probability,0.70,10,0.44743008033424864,0.018122009395239842,0.26324641772077345,0.017676544248013022,7.784593770993242,0.9580704376153798,0.9457703548151697,0.00447092477942436,6.0,1.699673171197595,1.0373660033001215,8.710631922300449e-05,2400.0,38.4,0.4421830420553654,0.2615064839593851,7.898919482140462,0.8594890685999417,2880.0,1.186621326429396,20.69565992153119,-16.666666666666668
ilinet,ga_budget__large_40x60,ga_budget,large_40x60,10,0.45223841625905753,0.01734101596308624,0.2625879342418228,0.016073994141582417,7.665791982298702,0.8640804536189105,0.9446069971088977,0.004214021041691888,6.5,1.509230856356236,2.13953140829999,8.986445770040938e-05,2600.0,54.2,0.4421830420553654,0.2615064839593851,7.898919482140462,0.8594890685999417,2880.0,2.2740298128468477,148.93061313568114,-9.722222222222221
ilinet,ga_budget__small_15x20,ga_budget,small_15x20,10,0.45756354866368654,0.012443162870633778,0.2759138586736297,0.01741936833899674,8.24268155583518,1.2850257985377436,0.9433320518925464,0.003095225784599702,6.1,1.6633299933166197,0.2739963005000391,7.120011541526485e-05,2440.0,20.0,0.4421830420553654,0.2615064839593851,7.898919482140462,0.8594890685999417,2880.0,3.478312179686744,-68.12102555924727,-15.277777777777779
ilinet,lambda_rules__0,lambda_rules,0,10,0.44623158857309947,0.01290464222655938,0.2602809984050866,0.014863532485653565,7.543629128900863,0.7845331402016499,0.9460994655029784,0.003130374543969091,7.8,0.4216370213557839,0.9094820738001544,8.306139808820052e-05,3120.0,38.3,0.4421830420553654,0.2615064839593851,7.898919482140462,0.8594890685999417,2880.0,0.9155815878681184,5.816595815656912,8.333333333333334
ilinet,lambda_rules__0.02,lambda_rules,0.02,10,0.4570148207102395,0.020521362848681085,0.27322017266828774,0.015220131494079116,8.039068809251066,0.5745751950944522,0.9434029707870797,0.005036500018167107,3.8,1.0327955589886444,0.9312411812999926,8.610229807835332e-05,1520.0,37.3,0.4421830420553654,0.2615064839593851,7.898919482140462,0.8594890685999417,2880.0,3.354216974475706,8.348228653673392,-47.22222222222222
ilinet,mutation_probability__high_0.45,mutation_probability,high_0.45,10,0.44402113197671184,0.017810872158493855,0.260849967800835,0.013558390010935598,7.842879321233923,0.6244508355681163,0.9465950610786044,0.004387289452782033,7.2,0.7888106377466155,0.927552733200082,9.012475384924284e-05,2880.0,35.1,0.4421830420553654,0.2615064839593851,7.898919482140462,0.8594890685999417,2880.0,0.41568530371553347,7.9190843824241,0.0
ilinet,mutation_probability__low_0.15,mutation_probability,low_0.15,10,0.45123838611548084,0.015443226203401359,0.26697335730948596,0.011421418067880938,7.807733691734076,0.6189697775621401,0.9448665289269258,0.0037959261086965234,6.5,1.7795130420052185,1.0150896014000863,7.343395576089489e-05,2600.0,38.6,0.4421830420553654,0.2615064839593851,7.898919482140462,0.8594890685999417,2880.0,2.0478723060079767,18.103840814823737,-9.722222222222221
ilinet,window_size__half,window_size,half,10,0.4515062870845303,0.005365394164207939,0.261067409588832,0.005622530150291627,7.3573538006208326,0.26390625723501193,0.9448521631235451,0.001307055111201534,6.4,1.5055453054181622,0.9257935353999528,8.874066346694376e-05,1331.2,37.9,0.4421830420553654,0.2615064839593851,7.898919482140462,0.8594890685999417,2880.0,2.1084582949695108,7.714404897320834,-53.77777777777778
ilinet,window_size__one_point_five,window_size,one_point_five,10,0.44886420811918093,0.012577300020023769,0.26527005763622713,0.01822974834389897,7.903174125220675,1.0349570037517766,0.9454641089427097,0.003066872825803735,6.9,1.3703203194062976,0.9406068168999809,8.035649036103748e-05,4084.8,39.4,0.4421830420553654,0.2615064839593851,7.898919482140462,0.8594890685999417,2880.0,1.5109503143223164,9.43790343164869,41.833333333333336
