dataset,model,seed,scenario,n_eval,training_time_sec,mean_inference_latency_sec,model_size_bytes,threshold,n_estimators,max_depth,learning_rate,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
ilinet,XGBoost,110,injected_10pct,52,0.07379918299966448,0.0004602260768776362,179503,0.42912499258615805,200,2,0.03,,,,,,5,12,0.3333333333333333,0.8,0.47058823529411764,applicable
ilinet,XGBoost,110,proxy_robust_z,52,0.07379918299966448,0.0004431545384897198,179503,0.42912499258615805,200,2,0.03,,,,,,11,9,1.0,0.8181818181818182,0.9,applicable
electricity,XGBoost,11,forecast_original,42,0.1216044740003781,0.00047477745238211355,303735,0.2642871716632531,200,4,0.03,0.13021182295701145,0.10580534655738023,11.71184506478357,0.6862823104432723,0.6862823104432723,0,2,,,,forecast_only
electricity,XGBoost,11,injected_5pct,42,0.1216044740003781,0.0004877085238409303,303735,0.2642871716632531,200,4,0.03,,,,,,2,4,0.5,1.0,0.6666666666666666,applicable
electricity,XGBoost,11,injected_10pct,42,0.1216044740003781,0.0004850674285448587,303735,0.2642871716632531,200,4,0.03,,,,,,4,7,0.5714285714285714,1.0,0.7272727272727273,applicable
electricity,XGBoost,11,proxy_robust_z,42,0.1216044740003781,0.0005653529523377594,303735,0.2642871716632531,200,4,0.03,,,,,,0,2,,,,not_applicable_no_positive_reference
electricity,XGBoost,22,forecast_original,42,0.22502703499958443,0.0009006462856913935,304619,0.2642871716632531,200,4,0.03,0.1306480944197727,0.10462818866534054,11.813176504721346,0.6841765821708579,0.6841765821708579,0,2,,,,forecast_only
electricity,XGBoost,22,injected_5pct,42,0.22502703499958443,0.0013832271428695787,304619,0.2642871716632531,200,4,0.03,,,,,,2,5,0.4,1.0,0.5714285714285714,applicable
electricity,XGBoost,22,injected_10pct,42,0.22502703499958443,0.0035274698333350465,304619,0.2642871716632531,200,4,0.03,,,,,,4,7,0.5714285714285714,1.0,0.7272727272727273,applicable
electricity,XGBoost,22,proxy_robust_z,42,0.22502703499958443,0.010838606928581655,304619,0.2642871716632531,200,4,0.03,,,,,,0,2,,,,not_applicable_no_positive_reference
electricity,XGBoost,33,forecast_original,42,1.622261127999991,0.0013537734285775861,305231,0.2642871716632531,200,4,0.03,0.13163967742141983,0.10369571671683542,11.724445752855923,0.6793643642425711,0.6793643642425711,0,2,,,,forecast_only
